id,label,type,layer,signal_strength,verification_status,canonical,last_verified,url
RES_004,Empathic Intelligence: The Philosophical Foundations of Ethics in the Age of Artificial Intelligence,ScholarlyArticle,research,0.90,verified,false,2026-05-27,
RES_005,Identity Graph Mirror / Identity Graph Dataset,Dataset,research,0.90,verified,false,2026-05-27,
RES_006,Living Semantic Identity Graph,research,research,0.96,canonical_dataset,false,2026-05-27,https://huggingface.co/datasets/HamedBehrouzi/HamedBehrouzi-IdentityGraph-Q1-v02
RES_007,Living Semantic Identity Graph Dataset,Dataset,research,0.90,verified,false,2026-05-27,
RES_008,M7 Framework,research,research,0.88,doi_or_profile_linked,false,2026-05-27,https://hamedbehrouzi.com/ai-ethical-interface-page
ROLE_001,AI Motion Systems Architect,role,technical_systems,0.88,self_authored,false,2026-05-27,
ROLE_002,Animation Supervisor,Role,role,0.86,self-authored,false,2026-05-27,
ROLE_003,Independent AI Ethics Researcher,Role,role,0.86,self-authored,false,2026-05-27,
ROLE_004,Lead & Senior Animator,role,role,0.95,self_authored,false,2026-05-27,
ROLE_005,Lead Animator,Role,role,0.86,self-authored,false,2026-05-27,
ROLE_006,Senior Animator,Role,role,0.86,self-authored,false,2026-05-27,
ROLE_007,Technical Animator,role,role,0.94,self_authored,false,2026-05-27,
SEM_001,Bing Knowledge Panel,recognition,semantic_system,0.70,public_or_self_authored,false,2026-05-27,
SEM_002,Google Knowledge Panel,recognition,semantic_system,0.70,public_or_self_authored,false,2026-05-27,
SEM_003,IRIS Korea Registration,recognition,semantic_system,0.70,public_or_self_authored,false,2026-05-27,
SEM_004,Known For / Filmography Page,canonical_source,semantic_system,0.96,canonical_self_authored,false,2026-05-27,https://hamedbehrouzi.com/known-for
SEM_005,Living Semantic Identity Page,canonical_source,semantic_system,0.98,canonical_self_authored,false,2026-05-27,https://hamedbehrouzi.com/living-semantic-identity
SEM_006,Naver Knowledge Panel,recognition,semantic_system,0.70,public_or_self_authored,false,2026-05-27,
SEM_007,Official Website,canonical_source,semantic_system,1.00,canonical_self_authored,false,2026-05-27,https://hamedbehrouzi.com
SEM_008,Production-First Narrative Hierarchy,interpretation_rule,semantic_system,0.94,self_authored,false,2026-05-27,
SEM_009,Reference Entity Architecture,semantic_system,semantic_system,0.95,canonical_self_authored,false,2026-05-27,https://hamedbehrouzi.com/reference-entity
SEM_010,Reference Entity Page,canonical_source,semantic_system,0.97,canonical_self_authored,false,2026-05-27,https://hamedbehrouzi.com/reference-entity
SEM_011,Seoul South Korea,location,semantic_system,0.75,self_authored,false,2026-05-27,
SEM_012,حامد بهروزی,alias,semantic_system,0.82,self_authored,false,2026-05-27,
SEM_013,ハメド・ベフルージ,alias,semantic_system,0.80,self_authored,false,2026-05-27,
SEM_014,하메드 베루지,alias,semantic_system,0.80,self_authored,false,2026-05-27,
TECH_001,AI-Assisted Scripting and Tool Development,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
TECH_002,Auto-Ground Motion Synchronization,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
TECH_003,Creature and Tentacle Motion Systems,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
TECH_004,Custom Animation Workflow Optimization,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
TECH_005,Maya Animation Tools,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
TECH_006,Procedural Loop Systems,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
TECH_007,Real-Time Overlap and Follow-Through Modules,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
TECH_008,Rig-Aware Animation Workflows,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
TECH_009,Unreal Engine Interaction Prototypes,TechnicalSystem,technical_systems,0.82,self-authored,false,2026-05-27,
SEM_015,Domain Governance Page,canonical_source,semantic_system,0.97,canonical_self_authored,false,2026-05-27,https://hamedbehrouzi.com/domain-governance
